MONTH,OPTIONS,CHART,LAST,CHANGE,PRIOR SETTLE,OPEN,HIGH,LOW,VOLUME,UPDATED
AUG 2021CLQ1,Opt,,75.21,+1.11 (+1.50%),74.1,74.18,75.52,73.68,"412,564",15:59:59 CT 13 Jul 2021
SEP 2021CLU1,Opt,,74.67,+1.23 (+1.67%),73.44,73.51,74.9,73.07,"263,046",15:59:57 CT 13 Jul 2021
OCT 2021CLV1,Opt,,73.64,+1.28 (+1.77%),72.36,72.44,73.83,72.07,"90,693",15:59:45 CT 13 Jul 2021
NOV 2021CLX1,Opt,,72.71,+1.32 (+1.85%),71.39,71.47,72.87,71.15,"41,828",15:59:32 CT 13 Jul 2021
DEC 2021CLZ1,Opt,,71.86,+1.28 (+1.81%),70.58,70.64,72.03,70.35,"89,509",15:59:32 CT 13 Jul 2021
JAN 2022CLF2,Opt,,71.01,+1.18 (+1.69%),69.83,69.92,71.27,69.66,"20,356",15:59:55 CT 13 Jul 2021
FEB 2022CLG2,Opt,,70.33,+1.19 (+1.72%),69.14,69.35,70.54,69.04,"6,847",15:59:55 CT 13 Jul 2021
MAR 2022CLH2,Opt,,69.67,+1.16 (+1.69%),68.51,68.85,69.91,68.41,"13,038",15:59:30 CT 13 Jul 2021
APR 2022CLJ2,Opt,,68.97,+1.06 (+1.56%),67.91,68.17,69.22,67.79,"7,649",15:59:49 CT 13 Jul 2021
MAY 2022CLK2,Opt,,68.44,+1.11 (+1.65%),67.33,67.43,68.64,67.2,"3,809",15:59:49 CT 13 Jul 2021
JUN 2022CLM2,Opt,,67.97,+1.18 (+1.77%),66.79,66.89,68.14,66.67,"22,523",15:59:43 CT 13 Jul 2021
JUL 2022CLN2,Opt,,67.28,+1.05 (+1.59%),66.23,66.55,67.48,66.15,"1,339",15:59:43 CT 13 Jul 2021
AUG 2022CLQ2,Opt,,-,-,65.69,-,-,-,676,14:43:29 CT 13 Jul 2021
SEP 2022CLU2,Opt,,66.45,+1.27 (+1.95%),65.18,65.49,66.45,65.49,"7,278",15:29:01 CT 13 Jul 2021
OCT 2022CLV2,Opt,,65.05,+0.36 (+0.56%),64.69,65.06,65.06,65.05,"1,660",15:29:21 CT 13 Jul 2021
NOV 2022CLX2,Opt,,65.47,+1.23 (+1.91%),64.24,65.47,65.47,65.47,"1,800",15:29:21 CT 13 Jul 2021
DEC 2022CLZ2,Opt,,65.02,+1.20 (+1.88%),63.82,63.92,65.19,63.75,"30,371",15:58:43 CT 13 Jul 2021
JAN 2023CLF3,Opt,,64.6,+1.26 (+1.99%),63.34,64.6,64.6,64.6,"1,655",14:37:26 CT 13 Jul 2021
